category,question
HISTORY,"Henry Laurens, Thomas Mifflin & Richard Henry Lee were presidents of this body that only lasted for about 15 years"
HISTORY,"On April 18, 1775 he was captured by the British but released; he had to walk back to Lexington"
HISTORY,"On September 8, 1974, he was granted ""A full, free and absolute pardon"""
HISTORY,"FDR's statement ""The United States of America was...deliberately attacked by...Japan"" was made on this date"
HISTORY,"In 1824 Andrew Jackson received more popular & electoral votes, but the House declared this man president"
HISTORY,Hostilities in the Spanish-American War ended when Manila surrendered to General Merritt & this admiral
HISTORY,"This pact among the U.S., Mexico & Canada took effect in 1994 & aims to eliminate tariffs by 2008"
HISTORY,In the 1880s the Knights of this gave way to the American Federation of this representing workers
HISTORY,"In 1849, Thomas Ewing, ""The Logician of the West"", became the USA's first Secy. of this Cabinet Dept."
HISTORY,"This committee that once claimed 800,000 members was dissolved Dec. 11, 1941"
HISTORY,Gen. Charles Lee was relieved of command after ordering a retreat at this 1778 New Jersey battle
HISTORY,"Because of the potato famine, more than a million emigrated from this country to the U.S. in the mid-1800s"
HISTORY,This 1803 land acquisition included area in what is now 13 of the 50 states
HISTORY,"After winning the disputed 1876 election, he was inaugurated to cries of ""Rutherfraud"""
HISTORY,In 1730 he assumed full ownership of the Pennsylvania Gazette
HISTORY,"Famous for his debates with Lincoln, he served as a U.S. senator from Illinois from 1847 to 1861"
HISTORY,"During his first term as president, the Bill of Rights became law"
HISTORY,In 1813 the U.S. defeated the British in the Battle of the Thames River in what is now this country
HISTORY,"In 1832 this president declared, ""The bank, Mr. Van Buren, is trying to kill me; but I will kill it"""
HISTORY,In November 1689 Joseph Wadsworth hid this colony's charter from the British by placing it in an oak tree
HISTORY,He earned his captain's commission by burning the Philadelphia at Tripoli in 1804
HISTORY,"At the outbreak of hostilities of the Civil War, he was president of the Senate"
HISTORY,The Philadelphia Centennial Exposition celebrated the 100th anniversary of this document
HISTORY,"On March 27, 1964, North America's most intense recorded earthquake, an 8.4, hit this state"
HISTORY,"1 of 3 men who, under the name ""Publius"", wrote ""The Federalist"" essays urging ratification of the Constitution"
HISTORY,Just before WWII this British king & his queen Elizabeth became the 1st British monarchs to visit the U.S.
HISTORY,In 1982 Central High School was made a national landmark in memory of 1957 events there
HISTORY,"While in the VA. legislature, this 3rd president introduced his religious freedom statute"
HISTORY,"Founded in 1607, the Popham colony on the Kennebec River was this state's first English settlement"
HISTORY,In 1952 composer Stuart Hamblen was the presidential candidate of this anti-liquor party
HISTORY,"On Dec. 23, 1921 President Harding pardoned this Socialist so that he could have Christmas dinner with his wife"
HISTORY,This soldier & frontiersman won important victories over the British in the Northwest Territory
HISTORY,"Francisco Lopez found this precious metal in California in 1842, before the rush"
HISTORY,"In 1843 Congress allocated $30,000 to string one between Baltimore & Washington; it was completed in 1844"
HISTORY,In 1873 President Grant proclaimed this city the site of the Centennial Exposition of 1876
HISTORY,"Before cotton became king, this plant that yields a violet dye was a popular southern crop"
HISTORY,"In May 1692 this village's jails were filled with witchcraft suspects, eventually totaling 150"
HISTORY,In 1900 Sanford B. Dole became the first governor of this U.S. territory
HISTORY,"During the naval battle for this Alabama bay, David Farragut uttered, ""Damn the torpedoes!  Full speed ahead!"""
HISTORY,"In 1888 he won the presidency using the campaign song ""Grandfather's Hat Fits Ben"""
HISTORY,"During the War of 1812, he had command of 3 brigs, 5 schooners & a sloop on Lake Erie"
HISTORY,"Shrapnel from a 1916 munitions storage plant explosion in Jersey City, NJ damaged this famous statue"
HISTORY,"Frances Perkins was trying to improve working conditions in these in the 1910s, Kathie Lee in the '90s"
HISTORY,The U.S. made this great buy from France in 1803 & would have been happy with just New Orleans
HISTORY,"If this act hadn't passed July 14, 1798, we would have had just the Alien Acts"
HISTORY,In 1844 John C. Fremont crossed the Sierra Nevada & this John C. became Secretary of State
HISTORY,"In 1805 this territory was created from the Indiana one, with all or parts of the lower & upper peninsulas"
HISTORY,In May 1980 at least 26 people were killed when this volcano in Washington erupted
HISTORY,"In September 1664 this governor of New Amsterdam surrendered to the British, ending Dutch power in the New World"
HISTORY,"(<a href=""http://www.j-archive.com/media/2002-02-25_J_04.jpg"" target=""_blank"">Cheryl of the Clue Crew reports from Gettysburg Cemetery.</a>) In 1863, Lincoln dedicated this cemetery by saying that ""we cannot consecrate--we cannot"" do this to ""this ground"""
HISTORY,A 1963 treaty with Mexico settled a boundary dispute between Ciudad Juarez & this Texas city
HISTORY,"Famous 1863 speech by President Lincoln that began, ""Four score and seven years ago..."""
HISTORY,It's the year America celebrated its bicentennial
HISTORY,"Davy Crockett was among nearly 200 men who died defending this mission-fortress in San Antonio, Texas"
HISTORY,"After journeying 4,000 miles, this pair's expedition finally reached the Pacific Ocean in November 1805"
HISTORY,During Bacon's Rebellion in 1676 this 1st permanent English settlement in America was burned to the ground
HISTORY,"A 1928 campaign slogan promised this ""in every pot and a car in every garage"""
HISTORY,"Years of political rivalry led to the July 11, 1804 duel between these 2 men"
HISTORY,In 1776 this silversmith set up a mill to make gunpowder after the colonists ran out of it at Bunker Hill
HISTORY,"The Confederate States of America were established in 1861 in this city, the first Confederate capital"
HISTORY,This leader of the Green Mountain Boys was a champion for the creation of the Green Mountain State
HISTORY,"By 1942 FDR had appointed 7 new men to this body: it took a while, but he got the packing he had wanted"
HISTORY,"Congress adopted this document in 1777, but it was not fully ratified by the states for another 4 years"
HISTORY,"Slaves, molasses & rum were exchanged in the 3 arms of the colonial practice known as this ""trade"""
HISTORY,"""Our flag still waves proudly from the walls"", William B. Travis said of it, ""I shall never surrender or retreat"""
HISTORY,"(<a href=""http://www.j-archive.com/media/2010-10-27_DJ_18.wmv"">Jimmy of the Clue Crew presents the clue on a map.</a>)  The Oregon Trail started at Independence, Missouri and crossed the Great Plains by following this river"
HISTORY,Nixon's Att'y-Gen. E. Richardson resigned & Watergate prosecutor A. Cox was fired on this night of the week
HISTORY,"John Jay, not John Marshall, was the first one"
HISTORY,"After the original 13, this was the 1st state admitted to the union"
HISTORY,These 2 self-governing outlying areas of the U.S. were acquired from Spain in 1898
HISTORY,"In his 1835 book ""Democracy in America"", this Frenchman predicted the present age's 2 superpowers"
HISTORY,Escaped slaves in the 1850s & draft dodgers in the 1960s mainly headed to this country
HISTORY,"On Feb. 15, 1901 Carry Nation wrecked one of these establishments with a hatchet"
HISTORY,"A fire in 1851 destroyed some 35,000 volumes in its collection"
HISTORY,"In the first census conducted in 1790, this state, with nearly 692,000 people, was the most populous"
HISTORY,"Seen <a href=""http://www.j-archive.com/media/2004-11-01_J_13.jpg"" target=""_blank"">here</a> at a Senate hearing, he was the first U.S. Attorney General to be convicted of a felony"
HISTORY,"14 years before coming to America, this Quaker was imprisoned in the Tower of London for his beliefs"
HISTORY,In 1949 the U.S. joined this Western defense pact; our 1st ever peacetime alliance
HISTORY,"It's now thought that an internal explosion, not a mine, caused this ship to sink in Havana Harbor in 1898"
HISTORY,This settlement's economy grew after John Rolfe found that tobacco could be successfully grown there
HISTORY,"19th century term for the belief that U.S. expansion across North America was ""destined by God"""
HISTORY,"Custer's Last Stand is also known by the oxymoronic name ""Little Big"" this"
HISTORY,"In the 1950s, if your button said, ""I Like Ike"", he was your man"
HISTORY,"Born in Tennessee, Davy Crockett died in what's now this state"
HISTORY,"William Cody's 2-word nickname, or perhaps what he sent out to his clients at the end of each month"
HISTORY,"Contrary to myth, Washington didn't throw one of these across the Potomac; there weren't any when he was young"
HISTORY,"In 1774 New Jerseyites dressed as Indians burned this in Greenwich; a similar ""Party"" occurred earlier in Boston"
HISTORY,"In 1901 the Senate ratified the Hay-Pauncefote Treaty, allowing the U.S. to build this in Central America"
HISTORY,"On May 1, 1898 Commodore Dewey defeated the Spanish Pacific fleet at the battle of this Philippine bay"
HISTORY,"On May 10, 1692 this colony founded by Cecil Calvert made the Anglican Church its official church"
HISTORY,In 1939 this state finally finished paying off a $12.4-million debt to the state from which it had separated
HISTORY,Nickname given the WWII backyard vegetable patches
HISTORY,"In May of 1780, Gen. Benjamin Lincoln was forced to surrender this South Carolina port to the British"
HISTORY,More than 200 U.S. Marines were killed in 1983 by a truck bomb at their barracks in this Mideast capital
HISTORY,"He related the story of Pocahontas in his ""General History of Virginia"" in 1624"
HISTORY,"The Battle of Palo Alto, fought May 8, 1846, was the first battle of this war"
HISTORY,"On February 15, 1898 the U.S. battleship Maine blew up in this Cuban capital's harbor"
HISTORY,"This ""King of the Wild Frontier"" once claimed to have killed 105 bears during a few months in 1825"
HISTORY,"The ""War on"" this, approved by Congress in August of 1964, included VISTA, Volunteers in Service to America"
HISTORY,"What's known as the second of these programs began with FDR's January 4, 1935 message to Congress"
HISTORY,John Smith was among the early members on the Council of Seven that governed this Virginia colony
HISTORY,This volunteer group was born in may 1898 near the bar in San Antonio's Menger Hotel; it existed for just 133 days
HISTORY,In November 1620 John Carver was elected the first governor of this colony
HISTORY,In 1933 this Republican began serving the first of his 2 terms as governor of Kansas
HISTORY,"While serving in this cabinet post, Edward R. Stettinius, Jr. signed the U.N. charter for the U.S. June 26, 1945"
HISTORY,"In June 1967 LBJ met with this Soviet premier in Glassboro, N.J. to discuss world problems"
HISTORY,"On September 14, 1847, this general led the American army into Mexico City"
HISTORY,This 1803 acquisition doubled the size of the U.S.
HISTORY,"Though he said he found dueling abhorent, he participated in one in 1804"
HISTORY,"In 1912, it became 48th & last contiguous state to join The Union"
HISTORY,"1st to hold a nominating convention, this 3rd party ironically chose Mason Wm. Wirt to run for Pres."
HISTORY,"Upon leading 1894 march of unemployed on Washington, Jacob Coxey was arrested for this trivial of offenses"
HISTORY,"On Nov. 11, 1918, Pvt. Henry Gunther became the last American casualty in this war"
HISTORY,"Remarkably, there were more than 60 survivors when this Zeppelin crashed in New Jersey in 1937"
HISTORY,"Elected the 19th U.S. president in 1876, Rutherford B. Hayes was a member of this political party"
HISTORY,"(Sofia of the Clue Crew at the Ronald Reagan Library)  This man awarded the Medal of Freedom to Ronald Reagan on January 13, 1993"
HISTORY,"This Indian ""king"" for whom a war against American colonists was named was tracked down & killed in 1676"
HISTORY,This 1876 battle in Montana is also known as Custer's Last Stand
HISTORY,In the late 1600s this Asian grain became the main crop of the Carolina coastal lowlands
HISTORY,"In 1972 George McGovern called this president's administration the ""most corrupt"" in U.S. history"
HISTORY,In 1813 this hero of Tippecanoe defeated Tecumseh at the Thames River in Canada
HISTORY,In 1664 the Duke of York granted land west of the Hudson River to his supporters; it was named this
HISTORY,"History was made on December 1, 1955 when bus driver James Blake called the police & had this person arrested"
HISTORY,You're in the Army now--in 1940 FDR instituted the first peacetime one of these in U.S. history
HISTORY,"This term for a mechanical device can also be an organization running city politics, like NYC's Tammany Hall"
HISTORY,Edward Brooke was the first African American to hold this post for a state; Eric Holder is the first federal one
HISTORY,"<a href=""http://www.j-archive.com/media/2009-10-15_J_09.jpg"" target=""_blank"">Buzz Aldrin & Jim Lovell</a> do look like <a href=""http://www.j-archive.com/media/2009-10-15_J_09a.jpg"" target=""_blank"">twins</a> as they prepare for a mission in this 1960s program"
HISTORY,This man's 1807 steamboat run up the Hudson led to an 1824 Supreme Court decision on interstate commerce
HISTORY,"In 1953, this island's first year as a U.S. commonwealth, 75,000 residents moved to the mainland"
HISTORY,"This president collapsed September 25, 1919 & one week later suffered a stroke"
HISTORY,In 1609 Champlain reached the lake now named for him on the border of New York & this state
HISTORY,"In 1903 this ""Badger State"" became the first to adopt direct primary elections"
HISTORY,"On December 2, 1863, ground was broken in Omaha for the construction of this railroad"
HISTORY,"On the night of April 14, 1986, U.S. warplanes bombed Tripoli & Benghazi in this African country"
HISTORY,"Traffic on this trail between San Antonio & Abilene peaked in 1871 with 600,000 cattle"
HISTORY,"Until the late 1840s, this largest North Carolina city was the USA's chief source of gold"
HISTORY,"At the same time that John Foster Dulles was Secretary of State, his brother Allen headed this agency"
HISTORY,19 members of this Irish-American terrorist society active in 1870s Pennsylvania were hanged
HISTORY,"In the last week of the John Tyler administration, this republic was offered statehood"
HISTORY,In September 1964 the Warren Commission concluded that he acted alone in JFK's assassination
HISTORY,"On December 20, 1860, as a result of Lincoln's election, this state seceded from the Union"
HISTORY,"Fleeing the capital on August 24, 1814, she took a Gilbert Stuart portrait of Washington with her"
HISTORY,In 1916 President Wilson sent this brigadier general into Mexico in pursuit of Pancho Villa
HISTORY,In 1932 this Republican was elected governor of Kansas; he won reelection in 1934
HISTORY,"On May 22, 1906 they received a patent for an improved model of their airplane"
HISTORY,"Samuel Adams referred to this April 19, 1775 battle when he said, ""What a glorious morning for America!"""
HISTORY,"Prior to his election to the Tennessee legislature in 1821, this frontiersman was a Justice of the Peace"
HISTORY,"1 of 4 freedoms FDR termed essential in a January 6, 1941 address to Congress"
HISTORY,"Of the 3 writers of the Federalist papers, 2 were New Yorkers & he was a Virginian"
HISTORY,"On Nov. 9, 1906 Teddy Roosevelt left the U.S. to personally see the progress on this engineering project"
HISTORY,"The British party of this name aimed to limit the king's powers; the U.S. party hoped to limit ""King Andrew"" Jackson"
HISTORY,"(<a href=""http://www.j-archive.com/media/2010-10-18_J_26.jpg"" target=""_blank"">Sarah of the Clue Crew shows a map of New England on the monitor.</a>) In May 1643, to discourage attacks by the Dutch & others, the United Colonies of New England was formed by 4 Puritan colonies: Massachusetts Bay, Connecticut, New Haven & <a href=""http://www.j-archive.com/media/2010-10-18_J_26a.jpg"" target=""_blank"">this</a> one"
HISTORY,"On May 15, 1972 while campaigning in Laurel, Md., this Alabama governor was shot & paralyzed by Arthur Bremer"
HISTORY,In 1948 Whittaker Chambers implicated this State Department official as an espionage agent for the Soviets
HISTORY,"I've had it ""on my mind"" that this state has joined the Union 3 times, in 1788, 1868 & 1870"
HISTORY,A federal law from 1950 prohibited the labeling of colored oleo as this
HISTORY,The Dept. of Agriculture began a new version of this program in 1964; by 1975 it was helping over 17 million people
HISTORY,"This commodore became a friend to Japan in 1854, showing them the telegraph & a daguerreotype camera"
HISTORY,"Name that completed an 1856 Republican slogan, ""Free soil, free speech, free men and ..."""
HISTORY,"This state's been ""on my mind"" since it entered the Union 3 times, in 1788, 1868 & 1870"
HISTORY,In 1913 the 16th Amendment was passed allowing Congress to collect taxes on this
HISTORY,"Fleeing the capital on August 24, 1814, she took a Gilbert Stuart portrait of Washington with her"
HISTORY,Guerrilla leader Francis Marion earned this nickname for his daring raids from the South Carolina marshes
HISTORY,"Name that completed an 1856 Republican slogan, ""Free soil, free speech, free men and..."""
HISTORY,"15 indentured servants were aboard this ship when it sailed for the new world, Sept. 16, 1620"
HISTORY,"He was hanged in Charlestown, Virginia about 6 weeks after he led the attack on Harper's Ferry"
HISTORY,In 1834 Stephen Austin was held in prison for 8 months in this country
HISTORY,In 1818 this general ordered 2 traders arrested & executed for inciting the Seminole Indians
HISTORY,"This Oglala Sioux chief was fatally stabbed Sept. 5, 1877 at Fort Robinson, Nebraska"
HISTORY,"When the British approached, the Concord Militia didn't know about the skirmish at this place earlier that day"
HISTORY,"WWI sales of ""Liberty"" these, whose posters showed the statue, raised more than $15 billion"
HISTORY,You didn't want to make the mistake of following the south instead of the north platte on this pioneer trail
HISTORY,The U.S. supplied materiel to its allies during WWII through this 1941 Congressional act
HISTORY,"Now sounding oxymoronic, these alliterative Republicans were the party's anti-slavery wing in its early years"
HISTORY,"Unaware of the Treaty of Ghent signed earlier, the British attacked this Louisiana city on Jan. 8, 1815"
HISTORY,"The British gained Charlestown Peninsula, now in Boston, by winning this June 17, 1775 battle"
HISTORY,"On Nov. 7, 1811 this territorial governor of Indiana lost 62 of his men at Tippecanoe"
HISTORY,In 1794 this chief justice negotiated a treaty calling for British evacuation of the Northwest
HISTORY,In 1912 Alaska became an organized U.S. territory & these 2 states joined the union
HISTORY,"After General Cornwallis Surrendered at Yorktown, this American traitor accompanied him back to England"
HISTORY,"This January 1, 1863 document liberated all slaves in regions still under Confederate control"
HISTORY,In 1609 this captain was injured in a gunpowder explosion & lost his leadership role in Jamestown
HISTORY,"The ""New Deal"" refers to the economic recovery & social reforms implemented by this U.S. president"
HISTORY,"In 1898 Americans were urged to ""remember"" this battleship that sank in Havana harbor, leading to war with Spain"
HISTORY,In 1943 Georgia became the 1st state to lower the voting age to this
HISTORY,"Black Friday, September 24, 1869, resulted from Gould & Fisk's attempt to corner the U.S. supply of this"
HISTORY,"He was the last Dutch governor of New York, which was New Netherland at the time"
HISTORY,"At the Battle of San Jacinto, Sam Houston took this Mexican leader prisoner"
HISTORY,Swedish-born John Ericsson designed this 1st of the ironclads with a revolving turret
HISTORY,"On July 9, 1776 this state's legislature met in White Plains & ratified the Declaration of Independence"
HISTORY,"On April 4, 1949, the U.S., Canada, Great Britain, France & 8 other nations signed this mutual defense pact"
HISTORY,"8 Americans were killed April 24, 1980 in a failed attempt to rescue American hostages held in this city"
HISTORY,"After answering a NASA newspaper notice in the '70s, she became America's first woman in space"
HISTORY,In 1919 this future pres. mobilized the Mass. Militia to restore order in the Boston police strike
HISTORY,This famous transaction in 1803 doubled the territory of the U.S.
HISTORY,In the 1760s these 2 surveyors used milestones to mark the boundary line between Maryland & Pennsylvania
HISTORY,The Watergate scandal led to the resignation of this U.S. president in 1974
HISTORY,This 14-letter term refers to the period of readjustment & rebuilding after the Civil War
HISTORY,"Tragically, in the 1830s, some 4,000 members of this Indian tribe died during a forced march known as the Trail of Tears"
HISTORY,"""Bleeding Kansas"" was so named because of violence over this issue in the 1850s"
HISTORY,He obtained a charter to establish Georgia in 1732 & founded Savannah a year later
HISTORY,"This 1848 treaty ending the Mexican-American War added over 500,000 square miles to U.S. territory"
HISTORY,"This Shawnee chief & his brother, the Prophet, were both defeated in battles by William Henry Harrison"
HISTORY,"On Dec. 4, 1783 George Washington bade his officers farewell at this New York City tavern"
HISTORY,"As minister to Mexico, he was authorized by President Pierce to buy border land for the railroads"
HISTORY,"On October 20, 1803, the senate ratified the treaty for this land acquisition"
HISTORY,"Benedict Arnold & this man's Green Mountain Boys captured Ticonderoga, May 10, 1775"
HISTORY,In 1866 he became general of the U.S. Army; the first officer so designated
HISTORY,"The name of this anti-Jackson party was introduced to the senate by Henry Clay, April 14, 1834"
HISTORY,In 1843 Daniel Webster resigned as this president's Secretary of State
HISTORY,This orator became governor of Virginia in 1776
HISTORY,"19 convicted ""witches"" were executed this way in Salem, Massachusetts"
HISTORY,"A Packard touring car was disguised as a police car for this famous ""Holiday Holocaust"" in 1929"
HISTORY,"In 1616 she went to England with her husband, John, & her infant son"
HISTORY,The legal name of this black evangelist-abolitionist was Isabella Van Wagener
HISTORY,John Alden was the last surviving signer of this
HISTORY,"For their part in this 1770 Massachusetts riot, 2 soldiers were branded on the thumb"
HISTORY,"This monument with a 19-foot seated statue was dedicated by President Harding May 30, 1922"
HISTORY,The Supreme Court's 7-2 decision in this slavery case helped bring on the Civil War
HISTORY,"Though elected to the senate in 1930, this Louisiana governor didn't take his seat until 1932"
HISTORY,"In September, 1971, 43 peole were killed during a 4-day riot at this New York prison"
HISTORY,2 forts were founded in Idaho in 1834: Fort Hall & this one that bore the name of the future capital
HISTORY,Decade that saw the Freedom Summer & the Freedom Riders
HISTORY,"The only state Reagan didn't carry in 1984 was this one, Mondale's home state"
HISTORY,It's the war that was opposed by some Copperheads
HISTORY,The land purchase he negotiated with Mexico was in part intended for a cross-country railroad he wanted to build
HISTORY,In 1833 this area asked to separate from Coahuila to become its own Mexican state
HISTORY,In 1901 Buffalo Bill founded this town in the Big Horn Basin of Wyoming
HISTORY,"Frances Willard, a president of the WCTU, was the first woman honored in this Capitol building hall"
HISTORY,"In a March 1775 speech he also said, is ""peace so sweet as to be purchased at the price of chains and slavery?"""
HISTORY,"The change in the American flag on July 4, 1960 was its first change since July 4 of this year"
HISTORY,In January 1935 she became the first woman to fly solo from Hawaii to the U.S. mainland
HISTORY,"His final regret was ""I only regret that I have but one life to lose for my country"""
HISTORY,"On April 22, 1889 ""Sooners"" staked claims hours ahead of schedule in Guthrie City in this territory's land grab"
HISTORY,"This 1,500-mile-long mountain system divided the Civil War into the eastern & western theaters"
HISTORY,In 1910 Victor Berger of Wisconsin became the first of this party of Eugene Debs elected to Congress
HISTORY,"After his 1859 hanging, Civil War troops sang of this abolitionist's body ""mouldering in the grave"""
HISTORY,In 1913 the 16th Amendment was passed allowing Congress to collect taxes on this
HISTORY,"Plessy vs. Ferguson, which upheld segregation, was overturned by this 1954 case"
HISTORY,"During WWII America won its 1st major victory over Japan in this naval battle, about 1,200 miles from Hawaii"
HISTORY,"Bushrod, the favorite nephew of this president, became a Supreme Court justice in 1798"
HISTORY,Some attribute these 1692 proceedings to the psychotic effects of ergot poisoning
HISTORY,"The Federalists called it ""Mr. Madison's War"""
HISTORY,"His 1934 trip to Cartagena, Colombia was the first by a sitting U.S. president to South America"
HISTORY,In 1856 William Dayton became the first vice presidential candidate of this new party
HISTORY,In 1962 this Hawaiian became the first Japanese-American elected to the U.S. Senate
HISTORY,"Nixon's running mate in 1960, he was named chief negotiator at the Paris Peace Talks in 1969"
HISTORY,The area that's now the State of Indiana was acquired in this war
HISTORY,In 1787 Delaware became the 1st state in the Union; in 1860 this became the 1st state to secede
HISTORY,In 1952 this territory adopted its own constitution & became a commonwealth
HISTORY,In 1926 Lindbergh had to parachute out of planes 4 times while employed to do this
HISTORY,"Wilson, Harding, Coolidge & Hoover refused to recognize this country's government, but FDR did"
HISTORY,"This New Deal agency was symbolized by a blue eagle & used the motto, ""We do our part"""
HISTORY,"On Aug. 5, 1884 the cornerstone of this landmark's pedestal was laid on Bedloe's Island"
HISTORY,"41 male passengers signed this document in Provincetown Harbor, November 11, 1620"
HISTORY,"On May 9, 1995 the Senate, by a vote of 98-0, confirmed John Deutch as director of this agency"
HISTORY,"In 1769 he founded San Diego de Alcala, the first Franciscan mission in California"
HISTORY,In 1975 200 U.S. Marines recaptured this merchant ship that had been seized by Cambodia
HISTORY,"3 months after Congress authorized the Department of Foreign Affairs, it changed its name to this"
HISTORY,He died in 1804 the day after his duel with Aaron Burr
HISTORY,In 1945-46 the number of these government employees dropped from 12 million to less than 3 million
HISTORY,In 1932 Hattie Caraway of Arkansas became the first woman elected to this body
HISTORY,"After the original 13 colonies, this was the first state to enter the union"
HISTORY,"Though this president chose the general site for the executive mansion, he never lived there"
HISTORY,In 1836 this republic asked to be annexed to the U.S.
HISTORY,"When asked in 1779 ""Have you lowered your flag?"" he reportedly said, ""I have not yet begun to fight"""
